Instance,Time(s),Upper Bound,Status
N2C2W1_N.BPP,0.409587,43,Optimal
N2C2W1_O.BPP,0.235958,50,Optimal
N2C2W1_P.BPP,0.338597,46,Optimal
N2C2W1_Q.BPP,0.301075,49,Optimal
N2C2W1_R.BPP,0.520173,41,Optimal
N2C2W1_S.BPP,0.262238,43,Optimal
N2C2W1_T.BPP,0.656348,39,Optimal
N2C2W2_A.BPP,0.0744548,52,Optimal
N2C2W2_B.BPP,0.0967063,56,Optimal
N2C2W2_C.BPP,0.11974,53,Optimal
N2C2W2_D.BPP,0.0952277,51,Optimal
N2C2W2_E.BPP,0.135223,54,Optimal
N2C2W2_F.BPP,0.188578,48,Optimal
N2C2W2_G.BPP,0.104001,53,Optimal
N2C2W2_H.BPP,0.0927554,53,Optimal
N2C2W2_I.BPP,0.210696,49,Optimal
N2C2W2_J.BPP,0.0792266,56,Optimal
N2C2W2_K.BPP,0.15347,50,Optimal
N2C2W2_L.BPP,0.153322,52,Optimal
N2C2W2_M.BPP,0.125331,54,Optimal
N2C2W2_N.BPP,0.0826764,51,Optimal
N2C2W2_O.BPP,0.203102,50,Optimal
N2C2W2_P.BPP,0.14688,50,Optimal
N2C2W2_Q.BPP,0.107259,54,Optimal
N2C2W2_R.BPP,0.159135,51,Optimal
N2C2W2_S.BPP,0.0592856,58,Optimal
N2C2W2_T.BPP,0.0653476,56,Optimal
N2C2W4_A.BPP,0.131844,57,Optimal
N2C2W4_B.BPP,0.0787021,60,Optimal
N2C2W4_C.BPP,0.0298947,65,Optimal
N2C2W4_D.BPP,0.0472403,61,Optimal
N2C2W4_E.BPP,0.0708982,60,Optimal
N2C2W4_F.BPP,0.0692098,57,Optimal
N2C2W4_G.BPP,0.0742047,61,Optimal
N2C2W4_H.BPP,0.0539923,61,Optimal
N2C2W4_I.BPP,0.113299,58,Optimal
N2C2W4_J.BPP,0.0672621,60,Optimal
N2C2W4_K.BPP,0.0842864,59,Optimal
N2C2W4_L.BPP,0.0772174,57,Optimal
N2C2W4_M.BPP,0.0445104,60,Optimal
N2C2W4_N.BPP,0.0588737,63,Optimal
N2C2W4_O.BPP,0.0386235,62,Optimal
N2C2W4_P.BPP,0.119118,60,Optimal
N2C2W4_Q.BPP,0.0490006,62,Optimal
N2C2W4_R.BPP,0.0703292,56,Optimal
N2C2W4_S.BPP,0.0743233,55,Optimal
N2C2W4_T.BPP,0.0589246,57,Optimal
N2C3W1_A.BPP,0.93819,35,Optimal
N2C3W1_B.BPP,1.16781,35,Optimal
N2C3W1_C.BPP,1.02841,35,Optimal
N2C3W1_D.BPP,0.784914,37,Optimal
N2C3W1_E.BPP,0.982549,34,Optimal
N2C3W1_F.BPP,1.04381,35,Optimal
N2C3W1_G.BPP,1.01155,33,Optimal
N2C3W1_H.BPP,0.95532,35,Optimal
N2C3W1_I.BPP,0.968006,34,Optimal
N2C3W1_J.BPP,1.07276,33,Optimal
N2C3W1_K.BPP,0.765512,36,Optimal
N2C3W1_L.BPP,0.825471,35,Optimal
N2C3W1_M.BPP,1.3392,31,Optimal
N2C3W1_N.BPP,1.15323,32,Optimal
N2C3W1_O.BPP,0.934347,35,Optimal
N2C3W1_P.BPP,0.937327,35,Optimal
N2C3W1_Q.BPP,0.702462,34,Optimal
N2C3W1_R.BPP,0.961319,33,Optimal
N2C3W1_S.BPP,0.690598,36,Optimal
N2C3W1_T.BPP,0.864227,35,Optimal
N2C3W2_A.BPP,0.603258,41,Optimal
N2C3W2_B.BPP,0.421185,43,Optimal
N2C3W2_C.BPP,0.406933,41,Optimal
N2C3W2_D.BPP,1.23934,41,Optimal
N2C3W2_E.BPP,0.38774,39,Optimal
N2C3W2_F.BPP,0.47423,39,Optimal
N2C3W2_G.BPP,0.487422,41,Optimal
N2C3W2_H.BPP,0.5912,38,Optimal
N2C3W2_I.BPP,0.326088,44,Optimal
N2C3W2_J.BPP,0.205346,43,Optimal
N2C3W2_K.BPP,0.283026,42,Optimal
N2C3W2_L.BPP,0.204076,41,Optimal
N2C3W2_M.BPP,0.440353,43,Optimal
N2C3W2_N.BPP,0.378514,41,Optimal
N2C3W2_O.BPP,0.291395,45,Optimal
N2C3W2_P.BPP,0.384233,41,Optimal
N2C3W2_Q.BPP,0.631979,41,Optimal
N2C3W2_R.BPP,0.507102,40,Optimal
N2C3W2_S.BPP,0.136893,43,Optimal
